deviceID	flowData	current	watthourData	localDate	localTime	UTCtime
HyErn3Blm	null	0	0	2018-07-05	21:34:45	2018-07-05T07:34:45.000Z
HyErn3Blm	null	1.97	116.21	2018-07-05	21:49:45	2018-07-05T07:49:45.000Z
HyErn3Blm	null	0.71	41.9	2018-07-05	22:04:45	2018-07-05T08:04:45.000Z
HyErn3Blm	null	1.59	93.79	2018-07-05	22:19:45	2018-07-05T08:19:45.000Z
HyErn3Blm	null	0	0.04	2018-07-05	22:34:45	2018-07-05T08:34:45.000Z
HyErn3Blm	null	0.57	33.73	2018-07-05	22:49:45	2018-07-05T08:49:45.000Z
HyErn3Blm	null	0	0	2018-07-05	23:04:45	2018-07-05T09:04:45.000Z
HyErn3Blm	null	0	0	2018-07-05	23:19:45	2018-07-05T09:19:45.000Z
HyErn3Blm	null	0	0	2018-07-05	23:34:45	2018-07-05T09:34:45.000Z
HyErn3Blm	null	0	0	2018-07-05	23:49:46	2018-07-05T09:49:46.000Z
HyErn3Blm	null	0	0	2018-07-05	00:04:46	2018-07-05T10:04:46.000Z
HyErn3Blm	null	0	0.07	2018-07-05	00:19:46	2018-07-05T10:19:46.000Z
HyErn3Blm	null	2.06	123.66	2018-07-05	00:34:46	2018-07-05T10:34:46.000Z
HyErn3Blm	null	0.78	46.55	2018-07-05	00:49:46	2018-07-05T10:49:46.000Z
HyErn3Blm	null	0	0	2018-07-05	01:04:46	2018-07-05T11:04:46.000Z
HyErn3Blm	null	0	0	2018-07-05	01:19:46	2018-07-05T11:19:46.000Z
HyErn3Blm	null	0	0	2018-07-05	01:34:46	2018-07-05T11:34:46.000Z
HyErn3Blm	null	0	0	2018-07-05	01:49:46	2018-07-05T11:49:46.000Z
HyErn3Blm	null	0	0	2018-07-05	02:04:46	2018-07-05T12:04:46.000Z
HyErn3Blm	null	0	0	2018-07-05	02:19:46	2018-07-05T12:19:46.000Z
HyErn3Blm	null	0	0	2018-07-05	02:34:46	2018-07-05T12:34:46.000Z
HyErn3Blm	null	0	0	2018-07-05	02:49:46	2018-07-05T12:49:46.000Z
HyErn3Blm	null	0	0	2018-07-05	03:04:46	2018-07-05T13:04:46.000Z
HyErn3Blm	null	0	0	2018-07-05	03:19:46	2018-07-05T13:19:46.000Z
HyErn3Blm	null	0	0	2018-07-05	03:34:47	2018-07-05T13:34:47.000Z
HyErn3Blm	null	0	0	2018-07-05	03:49:47	2018-07-05T13:49:47.000Z
HyErn3Blm	null	0	0	2018-07-05	04:04:47	2018-07-05T14:04:47.000Z
HyErn3Blm	null	0	0	2018-07-05	04:19:47	2018-07-05T14:19:47.000Z
HyErn3Blm	null	0	0	2018-07-05	04:34:47	2018-07-05T14:34:47.000Z
HyErn3Blm	null	0	0	2018-07-05	04:49:47	2018-07-05T14:49:47.000Z
HyErn3Blm	null	0	0	2018-07-05	05:04:47	2018-07-05T15:04:47.000Z
HyErn3Blm	null	0	0	2018-07-05	05:19:47	2018-07-05T15:19:47.000Z
HyErn3Blm	null	0	0	2018-07-05	05:34:47	2018-07-05T15:34:47.000Z
HyErn3Blm	null	0	0	2018-07-05	05:49:47	2018-07-05T15:49:47.000Z
HyErn3Blm	null	0	0	2018-07-05	06:04:47	2018-07-05T16:04:47.000Z
HyErn3Blm	null	0	0	2018-07-05	06:19:47	2018-07-05T16:19:47.000Z
HyErn3Blm	null	0.7	41.84	2018-07-05	06:34:47	2018-07-05T16:34:47.000Z
HyErn3Blm	null	0.82	49.23	2018-07-05	06:49:47	2018-07-05T16:49:47.000Z
HyErn3Blm	null	0	0.01	2018-07-05	07:04:47	2018-07-05T17:04:47.000Z
HyErn3Blm	null	2.52	150.25	2018-07-05	07:19:47	2018-07-05T17:19:47.000Z
HyErn3Blm	null	3.37	201.43	2018-07-05	07:34:47	2018-07-05T17:34:47.000Z
HyErn3Blm	null	2.3	138.01	2018-07-05	07:49:47	2018-07-05T17:49:47.000Z
HyErn3Blm	null	0	0	2018-07-05	08:04:47	2018-07-05T18:04:47.000Z
HyErn3Blm	null	0	0	2018-07-05	08:19:47	2018-07-05T18:19:47.000Z
HyErn3Blm	null	0	0	2018-07-05	08:34:47	2018-07-05T18:34:47.000Z
HyErn3Blm	null	0	0	2018-07-05	08:49:48	2018-07-05T18:49:48.000Z
HyErn3Blm	null	0	0	2018-07-05	09:04:48	2018-07-05T19:04:48.000Z
HyErn3Blm	null	0	0	2018-07-05	09:19:48	2018-07-05T19:19:48.000Z
HyErn3Blm	null	0	0	2018-07-05	09:34:48	2018-07-05T19:34:48.000Z
HyErn3Blm	null	0	0	2018-07-05	09:49:48	2018-07-05T19:49:48.000Z
